Stazione;Grandezza;Data rilevazione;Ora rilevazione;Valore
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);01/01/2023;00:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);01/01/2023;01:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);01/01/2023;02:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);01/01/2023;03:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);01/01/2023;04:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);01/01/2023;05:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);01/01/2023;06:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);01/01/2023;07:00;0,07
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);01/01/2023;08:00;0,63
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);01/01/2023;09:00;1,27
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);01/01/2023;10:00;1,74
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);01/01/2023;11:00;2,02
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);01/01/2023;12:00;2,08
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);01/01/2023;13:00;1,9
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);01/01/2023;14:00;1,48
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);01/01/2023;15:00;0,9
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);01/01/2023;16:00;0,26
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);01/01/2023;17:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);01/01/2023;18:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);01/01/2023;19:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);01/01/2023;20:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);01/01/2023;21:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);01/01/2023;22:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);01/01/2023;23:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);02/01/2023;00:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);02/01/2023;01:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);02/01/2023;02:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);02/01/2023;03:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);02/01/2023;04:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);02/01/2023;05:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);02/01/2023;06:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);02/01/2023;07:00;0,07
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);02/01/2023;08:00;0,64
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);02/01/2023;09:00;1,24
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);02/01/2023;10:00;1,72
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);02/01/2023;11:00;2,03
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);02/01/2023;12:00;2,11
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);02/01/2023;13:00;1,91
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);02/01/2023;14:00;1,19
