Stazione;Grandezza;Data rilevazione;Ora rilevazione;Valore
Mazara del Vallo;Temperatura aria media oraria (°C);01/01/2023;00:00;6,7
Mazara del Vallo;Temperatura aria media oraria (°C);01/01/2023;01:00;6
Mazara del Vallo;Temperatura aria media oraria (°C);01/01/2023;02:00;6,5
Mazara del Vallo;Temperatura aria media oraria (°C);01/01/2023;03:00;5,5
Mazara del Vallo;Temperatura aria media oraria (°C);01/01/2023;04:00;5,2
Mazara del Vallo;Temperatura aria media oraria (°C);01/01/2023;05:00;5,5
Mazara del Vallo;Temperatura aria media oraria (°C);01/01/2023;06:00;5,2
Mazara del Vallo;Temperatura aria media oraria (°C);01/01/2023;07:00;5
Mazara del Vallo;Temperatura aria media oraria (°C);01/01/2023;08:00;7
Mazara del Vallo;Temperatura aria media oraria (°C);01/01/2023;09:00;12,3
Mazara del Vallo;Temperatura aria media oraria (°C);01/01/2023;10:00;16,2
Mazara del Vallo;Temperatura aria media oraria (°C);01/01/2023;11:00;17,2
Mazara del Vallo;Temperatura aria media oraria (°C);01/01/2023;12:00;17,8
Mazara del Vallo;Temperatura aria media oraria (°C);01/01/2023;13:00;17,8
Mazara del Vallo;Temperatura aria media oraria (°C);01/01/2023;14:00;17,7
Mazara del Vallo;Temperatura aria media oraria (°C);01/01/2023;15:00;16,9
Mazara del Vallo;Temperatura aria media oraria (°C);01/01/2023;16:00;15
Mazara del Vallo;Temperatura aria media oraria (°C);01/01/2023;17:00;13,1
Mazara del Vallo;Temperatura aria media oraria (°C);01/01/2023;18:00;11,5
Mazara del Vallo;Temperatura aria media oraria (°C);01/01/2023;19:00;11,4
Mazara del Vallo;Temperatura aria media oraria (°C);01/01/2023;20:00;11,1
Mazara del Vallo;Temperatura aria media oraria (°C);01/01/2023;21:00;10,7
Mazara del Vallo;Temperatura aria media oraria (°C);01/01/2023;22:00;10,4
Mazara del Vallo;Temperatura aria media oraria (°C);01/01/2023;23:00;10,3
Mazara del Vallo;Temperatura aria media oraria (°C);02/01/2023;00:00;10,2
Mazara del Vallo;Temperatura aria media oraria (°C);02/01/2023;01:00;10,2
Mazara del Vallo;Temperatura aria media oraria (°C);02/01/2023;02:00;9,8
Mazara del Vallo;Temperatura aria media oraria (°C);02/01/2023;03:00;10
Mazara del Vallo;Temperatura aria media oraria (°C);02/01/2023;04:00;9,5
Mazara del Vallo;Temperatura aria media oraria (°C);02/01/2023;05:00;10,3
Mazara del Vallo;Temperatura aria media oraria (°C);02/01/2023;06:00;11
Mazara del Vallo;Temperatura aria media oraria (°C);02/01/2023;07:00;10,2
Mazara del Vallo;Temperatura aria media oraria (°C);02/01/2023;08:00;12,3
Mazara del Vallo;Temperatura aria media oraria (°C);02/01/2023;09:00;14,7
Mazara del Vallo;Temperatura aria media oraria (°C);02/01/2023;10:00;15,9
Mazara del Vallo;Temperatura aria media oraria (°C);02/01/2023;11:00;16,6
Mazara del Vallo;Temperatura aria media oraria (°C);02/01/2023;12:00;17,1
Mazara del Vallo;Temperatura aria media oraria (°C);02/01/2023;13:00;17,1
Mazara del Vallo;Temperatura aria media oraria (°C);02/01/2023;14:00;16,6
Mazara del Vallo;Temperatura aria media oraria (°C);02/01/2023;15:00;16
Mazara del Vallo;Temperatura aria media oraria (°C);02/01/2023;16:00;14,9
Mazara del Vallo;Temperatura aria media oraria (°C);02/01/2023;17:00;13,4
Mazara del Vallo;Temperatura aria media oraria (°C);02/01/2023;18:00;12,1
Mazara del Vallo;Temperatura aria media oraria (°C);02/01/2023;19:00;11
Mazara del Vallo;Temperatura aria media oraria (°C);02/01/2023;20:00;10,6
Mazara del Vallo;Temperatura aria media oraria (°C);02/01/2023;21:00;11,1
Mazara del Vallo;Temperatura aria media oraria (°C);02/01/2023;22:00;11,8
Mazara del Vallo;Temperatura aria media oraria (°C);02/01/2023;23:00;11,6
Mazara del Vallo;Temperatura aria media oraria (°C);03/01/2023;00:00;11,4
Mazara del Vallo;Temperatura aria media oraria (°C);03/01/2023;01:00;11,3
Mazara del Vallo;Temperatura aria media oraria (°C);03/01/2023;02:00;11,8
Mazara del Vallo;Temperatura aria media oraria (°C);03/01/2023;03:00;11,9
Mazara del Vallo;Temperatura aria media oraria (°C);03/01/2023;04:00;12,1
Mazara del Vallo;Temperatura aria media oraria (°C);03/01/2023;05:00;12,4
Mazara del Vallo;Temperatura aria media oraria (°C);03/01/2023;06:00;12,5
Mazara del Vallo;Temperatura aria media oraria (°C);03/01/2023;07:00;11,9
Mazara del Vallo;Temperatura aria media oraria (°C);03/01/2023;08:00;13,5
Mazara del Vallo;Temperatura aria media oraria (°C);03/01/2023;09:00;16
Mazara del Vallo;Temperatura aria media oraria (°C);03/01/2023;10:00;17,2
Mazara del Vallo;Temperatura aria media oraria (°C);03/01/2023;11:00;17,8
Mazara del Vallo;Temperatura aria media oraria (°C);03/01/2023;12:00;17,9
Mazara del Vallo;Temperatura aria media oraria (°C);03/01/2023;13:00;18
Mazara del Vallo;Temperatura aria media oraria (°C);03/01/2023;14:00;17,4
Mazara del Vallo;Temperatura aria media oraria (°C);03/01/2023;15:00;16,6
Mazara del Vallo;Temperatura aria media oraria (°C);03/01/2023;16:00;15,2
Mazara del Vallo;Temperatura aria media oraria (°C);03/01/2023;17:00;13,4
Mazara del Vallo;Temperatura aria media oraria (°C);03/01/2023;18:00;11,6
Mazara del Vallo;Temperatura aria media oraria (°C);03/01/2023;19:00;10,2
Mazara del Vallo;Temperatura aria media oraria (°C);03/01/2023;20:00;9
Mazara del Vallo;Temperatura aria media oraria (°C);03/01/2023;21:00;9
Mazara del Vallo;Temperatura aria media oraria (°C);03/01/2023;22:00;8,6
Mazara del Vallo;Temperatura aria media oraria (°C);03/01/2023;23:00;7,8
Mazara del Vallo;Temperatura aria media oraria (°C);04/01/2023;00:00;8,3
Mazara del Vallo;Temperatura aria media oraria (°C);04/01/2023;01:00;6,8
Mazara del Vallo;Temperatura aria media oraria (°C);04/01/2023;02:00;6,5
Mazara del Vallo;Temperatura aria media oraria (°C);04/01/2023;03:00;6,6
Mazara del Vallo;Temperatura aria media oraria (°C);04/01/2023;04:00;6,8
Mazara del Vallo;Temperatura aria media oraria (°C);04/01/2023;05:00;6,4
