Stazione;Grandezza;Data rilevazione;Ora rilevazione;Valore
Mazara del Vallo;Precipitazioni totali orarie (mm);01/01/2023;00:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);01/01/2023;01:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);01/01/2023;02:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);01/01/2023;03:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);01/01/2023;04:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);01/01/2023;05:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);01/01/2023;06:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);01/01/2023;07:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);01/01/2023;08:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);01/01/2023;09:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);01/01/2023;10:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);01/01/2023;11:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);01/01/2023;12:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);01/01/2023;13:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);01/01/2023;14:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);01/01/2023;15:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);01/01/2023;16:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);01/01/2023;17:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);01/01/2023;18:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);01/01/2023;19:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);01/01/2023;20:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);01/01/2023;21:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);01/01/2023;22:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);01/01/2023;23:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);02/01/2023;00:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);02/01/2023;01:00;0,2
Mazara del Vallo;Precipitazioni totali orarie (mm);02/01/2023;02:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);02/01/2023;03:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);02/01/2023;04:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);02/01/2023;05:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);02/01/2023;06:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);02/01/2023;07:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);02/01/2023;08:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);02/01/2023;09:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);02/01/2023;10:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);02/01/2023;11:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);02/01/2023;12:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);02/01/2023;13:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);02/01/2023;14:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);02/01/2023;15:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);02/01/2023;16:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);02/01/2023;17:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);02/01/2023;18:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);02/01/2023;19:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);02/01/2023;20:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);02/01/2023;21:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);02/01/2023;22:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);02/01/2023;23:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);03/01/2023;00:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);03/01/2023;01:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);03/01/2023;02:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);03/01/2023;03:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);03/01/2023;04:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);03/01/2023;05:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);03/01/2023;06:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);03/01/2023;07:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);03/01/2023;08:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);03/01/2023;09:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);03/01/2023;10:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);03/01/2023;11:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);03/01/2023;12:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);03/01/2023;13:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);03/01/2023;14:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);03/01/2023;15:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);03/01/2023;16:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);03/01/2023;17:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);03/01/2023;18:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);03/01/2023;19:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);03/01/2023;20:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);03/01/2023;21:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);03/01/2023;22:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);03/01/2023;23:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);04/01/2023;00:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);04/01/2023;01:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);04/01/2023;02:00;0,2
